text,label
bienvenue.,French
bienvenue!,French
salut.,French
qué alegría verte.,Spanish
cómo te va!,Spanish
yo!,English
good evening.,English
hi everyone.,English
hola mi amigo!!,Spanish
dear friend.,English
good to see you :),English
hope you're well.,English
ça gaze,French
buenas noches a todos,Spanish
hola chicos.,Spanish
hey.,English
bon matin.,French
qué tal todo :),Spanish
salut mon ami!,French
qué alegría verte!!,Spanish
welcome :),English
hello world!,English
comment va ta journée!!,French
buenas noches.,Spanish
qué onda!,Spanish
buenos días,Spanish
how’s your day!,English
comment allez-vous!,French
bienvenido!,Spanish
salut!!,French
hola a todos!!,Spanish
cómo estás!!,Spanish
es un placer :),Spanish
qué tal todo!!,Spanish
dear friend!,English
salut mon ami.,French
salut tout le monde :),French
buenas tardes,Spanish
yo,English
good evening.,English
yo,English
hi!!,English
good morning.,English
hola chicos!!,Spanish
sup :),English
ravie de vous rencontrer!!,French
hi there,English
hey!,English
hola chicos!,Spanish
hey.,English
good evening.,English
hola chicos!!,Spanish
hello!,English
qué tal!!,Spanish
saludos,Spanish
how are you!,English
hola amigo :),Spanish
buenas.,Spanish
what's up!!,English
how’s your day.,English
heureux de vous revoir.,French
good evening.,English
comment va ta journée.,French
encantado.,Spanish
hola chicos!!,Spanish
qué hay!,Spanish
ça va bien :),French
salut les amis!,French
mucho gusto :),Spanish
bienvenido.,Spanish
bienvenido de nuevo :),Spanish
hola mi amigo,Spanish
bon début de soirée!!,French
hola a todos,Spanish
rebonjour,French
welcome,English
comment va ta journée.,French
howdy!,English
dear friend,English
salutations.,French
ça roule :),French
buenas tardes,Spanish
buenas.,Spanish
buenas noches :),Spanish
es un placer,Spanish
bon après-midi!!,French
hi.,English
sup!!,English
how's it going!!,English
buenos días!,Spanish
hey buddy :),English
bonsoir :),French
comment ça va.,French
heureux de vous revoir!,French
hello!!,English
